Step          Temp         v_strain      v_sigmaxx      v_sigmayy        PotEng         KinEng           Lx             Ly
      6800   250.20872      0.136          3.9063183      97.20763      -373.95826      1.5847587      12.165179      12.120816
      6900   313.36265      0.138         -2.3309878      97.234268     -373.6202       1.9847598      12.086614      12.142156
      7000   270.48434      0.14          -0.93155883     100.46689     -373.17466      1.7131794      12.082266      12.163495
      7100   285.39276      0.142          4.1139444      99.483578     -372.08224      1.8076056      12.154667      12.184835
      7200   256.26719      0.144         -0.92335545     99.784415     -371.83311      1.6231316      12.089772      12.206174
      7300   333.49878      0.146         -3.4069994      100.65721     -371.65492      2.1122969      12.058248      12.227514
      7400   292.8937       0.148          4.4420221      101.31877     -370.61817      1.8551146      12.156877      12.248853
      7500   382.09488      0.15          -1.383086       101.2298      -370.03772      2.4200923      12.073964      12.270193
      7600   312.33319      0.152         -2.5734273      104.58152     -369.76278      1.9782395      12.046725      12.291532
      7700   315.33677      0.154          4.2991504      103.8707      -369.21226      1.9972633      12.150471      12.312871
      7800   320.43451      0.156         -2.0083151      105.58955     -368.51725      2.0295512      12.055938      12.334211
      7900   280.81715      0.158         -1.3899474      102.40246     -367.74798      1.7786248      12.064798      12.35555
      8000   360.26637      0.16           6.0398377      102.99846     -367.26281      2.2818361      12.171134      12.37689
      8100   307.48666      0.162         -2.3815124      101.14098     -366.59685      1.9475428      12.070663      12.398229
      8200   316.70987      0.164          1.4250136      101.99335     -366.39466      2.0059602      12.111949      12.419569
      8300   277.83471      0.166         -0.10672412     100.00184     -365.08613      1.7597348      12.089133      12.440908
      8400   292.52601      0.168         -1.6687628      101.88162     -365.34923      1.8527858      12.068296      12.462248
      8500   329.16869      0.17           2.1530145      102.87799     -364.04538      2.0848713      12.122149      12.483587
      8600   299.32215      0.172         -7.4970175      100.7215      -363.67698      1.8958308      11.996929      12.504927
      8700   312.83452      0.174          2.8982849      103.16701     -363.51543      1.9814148      12.120643      12.526266
      8800   322.17219      0.176         -3.3370866      103.20387     -362.62514      2.0405572      12.039303      12.547606
      8900   323.3964       0.178          5.0746058      102.76941     -361.76381      2.048311       12.15697       12.568945
      9000   242.03617      0.18          -6.0049623      101.75396     -361.26345      1.5329959      11.999063      12.590285
      9100   315.4325       0.182          2.3691205      104.81048     -360.59764      1.9978697      12.10813       12.611624
      9200   359.8504       0.184         -2.6107628      103.47598     -360.34869      2.2792014      12.037883      12.632963
      9300   265.94575      0.186          4.9413733      103.09796     -359.70449      1.6844332      12.145405      12.654303
      9400   318.3198       0.188         -1.2177678      103.56469     -359.42117      2.0161571      12.057485      12.675642
      9500   290.08132      0.19          -0.50587922     101.31254     -358.34618      1.8373017      12.069211      12.696982
      9600   332.99604      0.192          4.0585132      95.629822     -358.36501      2.1091127      12.142487      12.718321
      9700   270.76521      0.194          2.9582846      14.697777     -368.04916      1.7149584      12.155083      12.739661
      9800   351.57225      0.196         -1.2970141      11.541439     -369.17464      2.2267697      12.180907      12.761
      9900   343.511        0.198          3.2673071      13.939464     -368.97429      2.1757118      12.144885      12.78234
     10000   290.54203      0.2           -4.605205       13.227759     -368.97729      1.8402197      11.997751      12.803679
     10100   269.46826      0.202          1.812993       16.51487      -368.99691      1.7067438      12.071454      12.825019
     10200   265.63873      0.204         -1.6743097      17.887117     -369.00378      1.6824886      11.981303      12.846358
     10300   357.3857       0.206          3.2913608      20.153332     -369.10257      2.2635907      12.006749      12.867698
     10400   258.02589      0.208         -7.0509479      20.964847     -368.6815       1.6342708      11.827436      12.889037
     10500   361.19709      0.21           1.2503516      23.407684     -368.88262      2.287731       11.967957      12.910377
     10600   294.73773      0.212          0.10479092     22.645773     -368.89599      1.8667943      11.933232      12.931716
     10700   277.80309      0.214         -4.5933238      23.951195     -368.24185      1.7595345      11.861107      12.953055
     10800   240.33108      0.216          2.3656428      24.974663     -368.13943      1.5221963      11.976166      12.974395
     10900   312.36547      0.218         -1.6149074      24.265464     -368.37053      1.9784439      11.953688      12.995734
     11000   372.97971      0.22          -0.73585508     19.664832     -368.61723      2.3623592      11.976914      13.017074
     11100   340.31273      0.222          1.0516648      18.202488     -368.55878      2.1554547      12.044515      13.038413
     11200   317.6174       0.224         -2.5595747      17.794938     -368.08921      2.0117083      12.045108      13.059753
     11300   281.07523      0.226          0.4093601      18.489476     -368.06437      1.7802595      12.046415      13.081092
     11400   292.28507      0.228         -2.5331117      17.938637     -367.80041      1.8512597      11.909633      13.102432
     11500   234.38403      0.23           2.8048025      19.246971     -367.44881      1.4845292      11.899987      13.123771
     11600   328.90791      0.232          2.7568545      21.573998     -367.62528      2.0832195      11.91638       13.145111
     11700   240.44679      0.234          3.4241754      23.127331     -367.43441      1.5229291      11.935358      13.16645
     11800   314.46273      0.236         -1.938635       23.936376     -366.80939      1.9917274      11.9274        13.18779
     11900   330.23561      0.238          1.9050942      24.921841     -367.61129      2.0916288      12.000287      13.209129
     12000   275.18464      0.24          -4.0200182      22.587567     -366.94545      1.7429499      11.973384      13.230468
     12100   206.61969      0.242          2.7641709      22.305098     -366.8774       1.3086769      12.062797      13.251808
     12200   251.21145      0.244         -0.61596886     21.64171      -367.19393      1.5911098      11.935759      13.273147
     12300   301.32185      0.246         -5.4789414      18.726442     -366.59923      1.9084964      11.823801      13.294487
     12400   255.69391      0.248         -1.1548945      21.610746     -366.68922      1.6195006      11.846461      13.315826
     12500   327.34579      0.25          -0.12128015     21.943684     -366.43131      2.0733255      11.813548      13.337166
     12600   370.81417      0.252          3.7114854      20.185446     -366.67741      2.3486432      11.992485      13.358505
     12700   336.47119      0.254          1.0497198      6.3831747     -366.35842      2.1311234      12.045166      13.379845
     12800   256.21088      0.256         -1.323633       14.06064      -366.01011      1.6227749      11.991103      13.401184
     12900   272.68459      0.258          5.9220153      8.1720841     -366.45983      1.7271152      12.100895      13.422524
     13000   343.56611      0.26          -2.0763327      6.3283771     -366.27927      2.1760609      11.933731      13.443863
     13100   312.20476      0.262         -2.5492106      3.8542145     -366.07038      1.977426       11.926313      13.465203
     13200   280.96002      0.264          3.5451675      5.581166      -365.57088      1.7795297      12.034078      13.486542
     13300   305.62637      0.266         -0.16996254     5.2757025     -365.87248      1.9357602      11.996394      13.507882
     13400   264.72323      0.268         -5.6598585      5.4084581     -366.24913      1.67669        11.916502      13.529221
     13500   241.38098      0.27           3.4329244      5.7514833     -366.04665      1.5288461      12.056605      13.55056
     13600   275.68789      0.272         -2.7118683      3.9662418     -365.86527      1.7461374      11.959391      13.5719
     13700   318.17797      0.274          1.2883853      3.8936854     -366.1909       2.0152588      12.038982      13.593239
     13800   299.60542      0.276          1.4354576      3.8727913     -366.09372      1.897625       12.049316      13.614579
     13900   257.04442      0.278         -4.5608234      5.8262026     -366.05288      1.6280544      11.923965      13.635918
     14000   281.78342      0.28           3.3588061      8.0711606     -365.96555      1.7847449      12.065685      13.657258
     14100   291.76932      0.282         -1.6410463      8.39635       -365.7039       1.8479931      11.985849      13.678597
     14200   340.07767      0.284         -0.14229956     2.913547      -366.01354      2.153966       11.96841       13.699937
     14300   345.50079      0.286          3.0162504      2.7586652     -365.64476      2.1883146      12.023929      13.7
