# Tetrahedron method
       -5.6944932843        0.0000000000        0.0000000000
       -5.3984420832        0.0000000000        0.0000000000
       -5.1023908822        0.0000000000        0.0000000000
       -4.8063396811        0.0000000000        0.0000000000
       -4.5102884800        0.0000000000        0.0000000000
       -4.2142372790        0.0000000000        0.0000000000
       -3.9181860779        0.0000000000        0.0000000000
       -3.6221348769        0.0000000000        0.0000000000
       -3.3260836758        0.0000000000        0.0000000000
       -3.0300324747        0.0000000000        0.0000000000
       -2.7339812737        0.0000000000        0.0000000000
       -2.4379300726        0.0000000000        0.0000000000
       -2.1418788716        0.0000000000        0.0000000000
       -1.8458276705        0.0000000000        0.0000000000
       -1.5497764694        0.0000000000        0.0000000000
       -1.2537252684        0.0000000000        0.0000000000
       -0.9576740673        0.0000000000        0.0000000000
       -0.6616228663        0.0000335746        0.0000335746
       -0.3655716652        0.0003252284        0.0003252284
       -0.0695204642        0.0030287923        0.0030287923
        0.2265307369        0.0056915130        0.0056915130
        0.5225819380        0.0093606559        0.0093606559
        0.8186331390        0.0136340537        0.0136340537
        1.1146843401        0.0185769902        0.0185769902
        1.4107355411        0.0259276641        0.0259276641
        1.7067867422        0.0408169384        0.0408169384
        2.0028379433        0.0319143588        0.0319143588
        2.2988891443        0.0308472117        0.0308472117
        2.5949403454        0.0296957754        0.0296957754
        2.8909915464        0.0308340235        0.0308340235
        3.1870427475        0.0309963442        0.0309963442
        3.4830939486        0.0309548646        0.0309548646
        3.7791451496        0.0316366304        0.0316366304
        4.0751963507        0.0321062367        0.0321062367
        4.3712475517        0.0323250321        0.0323250321
        4.6672987528        0.0328791603        0.0328791603
        4.9633499539        0.0335772909        0.0335772909
        5.2594011549        0.0343569315        0.0343569315
        5.5554523560        0.0349771638        0.0349771638
        5.8515035570        0.0355544571        0.0355544571
        6.1475547581        0.0361554709        0.0361554709
        6.4436059592        0.0368070802        0.0368070802
        6.7396571602        0.0374710090        0.0374710090
        7.0357083613        0.0381162611        0.0381162611
        7.3317595623        0.0388384248        0.0388384248
        7.6278107634        0.0397374547        0.0397374547
        7.9238619645        0.0407965145        0.0407965145
        8.2199131655        0.0419292677        0.0419292677
        8.5159643666        0.0428798452        0.0428798452
        8.8120155676        0.0438004284        0.0438004284
        9.1080667687        0.0445847939        0.0445847939
        9.4041179698        0.0456889401        0.0456889401
        9.7001691708        0.0470158159        0.0470158159
        9.9962203719        0.0483277095        0.0483277095
       10.2922715729        0.0494954142        0.0494954142
       10.5883227740        0.0505872927        0.0505872927
       10.8843739750        0.0523748887        0.0523748887
       11.1804251761        0.0541164025        0.0541164025
       11.4764763772        0.0559930282        0.0559930282
       11.7725275782        0.0577023676        0.0577023676
       12.0685787793        0.0600204034        0.0600204034
       12.3646299803        0.0636128248        0.0636128248
       12.6606811814        0.0671854463        0.0671854463
       12.9567323825        0.0716923878        0.0716923878
       13.2527835835        0.0763833389        0.0763833389
